Book1,Book2,baseline,nlp_only,equal,vocabulary_focused,structure_focused
2TH,2PE,0.5393511795249386,0.27645490254231886,0.5388858551034834,0.6269369464001292,0.6236527859618246
1TI,2TI,0.7293663982489537,0.484537079067956,0.7221295756262699,0.8630350228076247,0.8147605841526682
1TI,EPH,0.06766201952345881,0.28712223753614535,-0.03470188260047015,0.3030143011128257,-0.38370354672795487
1TI,MRK,-0.20936808295592693,0.09792633657724739,-0.1660162984532764,-0.33934978671523064,-0.0457656210177375
1TI,ACT,-0.03613599677933414,-0.05302042477716995,0.08624849824890925,-0.307697867230291,0.5083057227162316
1TI,1PE,0.4389358163693745,0.29061264871135806,0.4707434982591051,0.4387704133047481,0.6480900174314616
1TI,JHN,-0.20817152664423882,-0.07508052799276765,-0.07302968780610777,-0.5390608860497154,0.3676965295751629
1TI,LUK,-0.22774121859884788,0.021225600014139756,-0.14069214044646577,-0.4543555081471018,0.12927521977765752
1TI,HEB,0.032134836152322,-0.06739344426740695,0.0778861641734712,-0.062814547611557,0.23753898447279043
1TI,REV,0.17573033384054654,0.18059987683839523,0.28894252735178294,-0.0436815787323242,0.7210993347260322
1TI,MAT,-0.18634779991800976,-0.07457585288844465,-0.04911349000699784,-0.5180817194092923,0.4026647433120762
1TI,JUD,0.3391775544141458,0.3253520039215464,0.3753330863368553,0.31839879439535773,0.5565769207240585
1TI,JAS,0.406010308642334,0.23608621043533667,0.40816064913762884,0.46513728600612064,0.4772338554999114
1TI,2JN,0.1258250224099987,0.30692830884147965,0.16189301337401074,0.07342306094789738,0.3092003218375182
1TI,1JN,0.07478900228847274,0.1198100508648276,0.205248358245014,-0.1991084251302543,0.6791779074235413
1TI,3JN,-0.014872574642916598,0.3166794170846736,-0.014326666038677507,-0.0211664298722999,-0.01536709806425894
1TI,2PE,0.10651189175123915,0.3261177051061793,0.02946318307575989,0.2956207552257482,-0.22629967610183532
2TI,EPH,0.12771636484099397,0.39714648229537963,0.03602323346468202,0.35171329578214516,-0.2642851401783888
2TI,MRK,-0.27733768682157606,0.05259121081097248,-0.23117303144289697,-0.4284771815862354,-0.1118340796934852
2TI,ACT,-0.06049069540690584,1.5261278526440547e-05,0.06341331115023773,-0.3421763433234431,0.4880282756958435
2TI,1PE,0.5476514379361166,0.3585149304684082,0.5820151018277846,0.5618690391543432,0.7874104867809051
2TI,JHN,-0.2623956806355596,-0.027313525793261656,-0.14374014013567438,-0.569551637495055,0.23105416946992097
2TI,LUK,-0.2792450766726363,0.0454741864145706,-0.1990195550472147,-0.5033460517155879,0.03924880130772718
2TI,HEB,0.035512233810169866,0.021317964823150654,0.09655990552666396,-0.08871147199916093,0.31141058947185324
2TI,REV,0.12241922590361387,0.14038979085162667,0.25261243761032715,-0.14241026995027778,0.735329692272403
2TI,MAT,-0.26404636356498656,-0.12872613035728353,-0.1369250749069042,-0.5896919767151542,0.2669832646652137
2TI,JUD,0.42834444381391634,0.43665783312580736,0.44149260477614455,0.4719790677569804,0.556950079673469
2TI,JAS,0.3853459556278538,0.3474349845873501,0.356477562825133,0.5058843899866121,0.31460893042109617
2TI,2JN,0.03960212405041885,0.07722212677528582,0.06588470371503377,-0.005151752742749691,0.1625444997553447
2TI,1JN,-0.043679712168030294,0.10716189410980588,0.07138316659120597,-0.3047760037944056,0.4716872636564452
2TI,3JN,-0.11369610913440642,0.16829396293608878,-0.1482994529725049,-0.05988472693942376,-0.29031635323617705
2TI,2PE,0.20379534832083687,0.2925565129053987,0.1413471901248336,0.3795623158926261,-0.047410975752860275
EPH,MRK,-0.09821494591682906,0.1417145505768454,-0.18392943337369996,0.07263972415547224,-0.5010434946677047
EPH,ACT,-0.19654904016566238,0.1965856337258009,-0.2756731180546076,-0.05603570281764869,-0.5890360966508899
EPH,1PE,-0.004148622539823149,0.07974758066020189,-0.02031360583030853,0.03322443421914234,-0.08226137861675525
